"method","perp","perp_hue","perp_sat","perp_val","mse_to_distmode","mse_to_distmean"
"Empirical Non-extrapolating",2.1027921828923914e9,156.5524014859529,3801.745928321609,3533.0804803146148,0.11738938975532341,0.06369885215631756
"Empirical-smoothed Non-extrapolating",870002.9004794431,48.75847978854568,157.6519844314919,113.18036813086594,0.08918887609067538,0.06369720628680688
"SOWE Extrapolating",963782.9306409409,50.93856264227784,162.8769127498811,116.16438976475851,0.1455306389011469,0.07883111887219929
"SOWE Non-extrapolating",879579.5016947581,48.73340634753481,158.22804227755816,114.06827565417434,0.12413119837244355,0.0762716636610256
"SOWE-smoothed Extrapolating",937851.4890527067,50.63539918113344,161.06453804504437,114.99525031214253,0.1069628785805237,0.07806421724070674
"SOWE-smoothed Non-extrapolating",857034.2290846428,48.52039745840246,156.21653694282688,113.06984889638167,0.09825026512897168,0.07514085874497414
"CNN Extrapolating",1.0413036983065014e6,52.11178221339603,163.4829989218523,122.2274887154623,0.14490628221312113,0.0810797316222079
"CNN Non-extrapolating",875883.9599902455,49.03973337058502,156.43736905620497,114.1715690377519,0.1199901298690127,0.06569646637165022
"CNN-smoothed Extrapolating",1.0263494665338377e6,52.222829811114046,161.9646739117118,121.34295268705179,0.11982766149607486,0.08274961327027616
"CNN-smoothed Non-extrapolating",898520.9151695167,50.01467398145543,156.3623363887257,114.89433014337068,0.10082585070866117,0.07475534390850497
"RNN Extrapolating",3.3997551805654834e6,132.03965698108348,178.98365417368893,143.85663134064137,0.18546349449566776,0.12524527225069934
"RNN Non-extrapolating",2.1150627465827875e6,95.31309452536506,168.19524741174598,131.9340717596992,0.16355601781209606,0.10542836990251529
"RNN-smoothed Extrapolating",3.2225145032909284e6,125.66999108496533,181.70121735315342,141.12548886983615,0.18792010568646883,0.15830776275294695
"RNN-smoothed Non-extrapolating",2.111966614715337e6,93.65530524512842,168.70126315818027,133.67073333648162,0.1352592354667733,0.10544607302659398
"GRU Extrapolating",3.5673211519856453e6,136.5382484124103,185.99352864826793,140.4720912241837,0.2137842290063557,0.11690025504233988
"GRU Non-extrapolating",2.041723118347403e6,92.22423817006002,167.93083163061561,131.83214889218715,0.16443683315504307,0.10771061164916221
"GRU-smoothed Extrapolating",3.3356725451585213e6,128.94033029277637,182.11786701733232,142.0502743700862,0.19163571943386185,0.15247880034822317
"GRU-smoothed Non-extrapolating",2.0551804926739119e6,92.21910582249838,168.9629334702932,131.8978210868428,0.13110689952941423,0.10539482491276224
"GRU-1hl Extrapolating",3.5387970746343206e6,138.88112168360007,182.5413947561187,139.58896257227084,0.21415355115893775,0.1493864885707768
"GRU-1hl Non-extrapolating",2.010492467671582e6,92.65172389024744,166.0880193365419,130.65036882757093,0.15623786700914433,0.10733208823723539
"GRU-1hl-smoothed Extrapolating",3.1933740278700446e6,127.95557690290468,180.15612968729252,138.52926382651592,0.18352710955703241,0.1508905404019448
"GRU-1hl-smoothed Non-extrapolating",2.0535077188366996e6,93.11048678474324,167.8029905739089,131.43107072150954,0.13128083965174975,0.10825113566020164
