"method","perp","perp_hue","perp_sat","perp_val","mse_to_distmode","mse_to_distmean"
"Direct",2.6074499042536505e6,68.04017662564864,223.3874250912412,171.5504330730155,0.1337356413650439,0.0663556646126004
"Direct-smoothed",1.18477967887873e6,59.66655707208667,162.93409944167277,121.8693889319632,0.10933245009886777,0.0663693462975219
"Direct",2.6074499042536505e6,68.04017662564864,223.3874250912412,171.5504330730155,0.1337356413650439,0.0663556646126004
"Direct-smoothed",1.18477967887873e6,59.66655707208667,162.93409944167277,121.8693889319632,0.10933245009886777,0.0663693462975219
"SOWE",1.268341716395159e6,60.941850945311856,166.23216569309875,125.20035874099959,0.1280711251715729,0.0684645796965063
"SOWE-smoothed",1.2809780779021725e6,61.53849929952778,166.6193849756735,124.93072757389042,0.09549955519993973,0.06884282182391475
"CNN",1.2902670419587262e6,62.50877855355731,165.49260381727447,124.72686375575628,0.13443836950951998,0.0683598651122207
"CNN-smoothed",1.2994607109995484e6,63.03081401548963,165.954086677784,124.2287987577268,0.10690336603368106,0.06909804590843587
"RNN",1.5036432379562168e6,70.11113552087873,168.8860753418573,126.98837362132684,0.13288793109780583,0.0786063965857948
"RNN-smoothed",1.4892834811358538e6,70.18143991765703,168.05122605617868,126.27384729095728,0.10436548265156814,0.07814557710028286
