"method","perp","perp_hue","perp_sat","perp_val","mse_to_distmode","mse_to_distmean"
"Empirical",3.8088286349794376e6,61.932817936546776,248.73399077915977,247.24951867237195,0.111187425350983,0.06352217045764941
"Empirical-smoothed",906202.5878940948,46.7727889337213,154.38045007030541,125.49884499871555,0.09086892669190061,0.0635289704190796
"SOWE",955031.99325776,47.65443232859843,157.38303271904388,127.33761468071933,0.12001223436179484,0.06504553524377334
"SOWE-smoothed",935507.363689381,47.587539613336155,155.80242224625232,126.17687109144767,0.09145682213066039,0.0645859996935434
"CNN",961562.6693958248,48.67080008641889,156.13644832453738,126.53329362529716,0.12442884364912984,0.06443652336981809
"CNN-smoothed",973472.3610071407,49.29742535985719,156.08467838170338,126.51415335773603,0.09503640013279076,0.06439209731725214
"RNN",2.142025005872788e6,95.90511339592675,162.1048841536885,137.7801563111544,0.16563883601549095,0.09088980382937017
"RNN-smoothed",2.1062440211011604e6,93.97148478291044,162.62127951196558,137.82729180384788,0.13450633203454884,0.09356861455376761
"GRU",2.1386674924930544e6,96.05190742829096,161.63996603826612,137.74902199858676,0.16531790677437536,0.09823164646964233
"GRU-smoothed",2.1090826137935068e6,95.37148012516985,161.70400186997432,136.75849122353247,0.13162031565201257,0.09411763050857708
"GRU-1hl",2.1297304420138174e6,96.63145735515317,161.14302592330083,136.7711802801351,0.1408959439997184,0.10211183103079953
"GRU-1hl-smoothed",2.1113308918072153e6,95.97825639510495,161.1469360212017,136.5090340868212,0.13357623673054048,0.10156525643843427
