"method","mse"
"Distribution Mean Direct Non-extrapolating",0.06369885215631756
"Distribution Mean Direct-smoothed Non-extrapolating",0.06369720628680688
"Distribution Mean SOWE Extrapolating",0.07938859208193062
"Distribution Mean SOWE Non-extrapolating",0.07535109169090923
"Distribution Mean SOWE-smoothed Extrapolating",0.07868103127650498
"Distribution Mean SOWE-smoothed Non-extrapolating",0.0751902403875683
"Distribution Mean CNN Extrapolating",0.08129844552270606
"Distribution Mean CNN Non-extrapolating",0.07552672976660602
"Distribution Mean CNN-smoothed Extrapolating",0.0820636528076258
"Distribution Mean CNN-smoothed Non-extrapolating",0.07599931411753617
"Distribution Mean RNN Extrapolating",0.1475311594544664
"Distribution Mean RNN Non-extrapolating",0.10753591521621658
"Distribution Mean RNN-smoothed Extrapolating",0.1487085024230368
"Distribution Mean RNN-smoothed Non-extrapolating",0.10147752859595796
