"method","perp","mse_to_distmean"
"Direct Non-extrapolating",2.950834193953115e9,0.062132381688911636
"Direct-smoothed Non-extrapolating",843846.1755043188,0.062180091410614244
"SOWE Extrapolating",929211.069918433,0.07639481398062851
"SOWE Non-extrapolating",831637.1322184883,0.07285586328364832
"SOWE-smoothed Extrapolating",942045.6940659512,0.0764291790680164
"SOWE-smoothed Non-extrapolating",839005.141480351,0.07307470017572257
"CNN Extrapolating",1.0956519864598655e6,0.08437807415514435
"CNN Non-extrapolating",867983.9518082727,0.07291856105657271
"CNN-smoothed Extrapolating",1.0548725620390475e6,0.09374282677202657
"CNN-smoothed Non-extrapolating",892993.5811751804,0.07276961695966232
"RNN Extrapolating",3.0574071480120393e6,0.15215027128488232
"RNN Non-extrapolating",1.9710975586916998e6,0.10478952562356844
"RNN-smoothed Extrapolating",3.074929942832359e6,0.15104637981579436
"RNN-smoothed Non-extrapolating",1.8800725169582975e6,0.10509903813829027
