"method","nonextrapolatingmse","extrapolatingmse"
"Direct",0.06213238462805748,NaN
"SOWE",0.06493569165468216,0.07881485670804977
"CNN",0.07246111333370209,0.06999575346708298
"RNN",0.13774675130844116,0.14229418337345123
"Distribution Mean Direct",0.06213238168891163,NaN
"Distribution Mean Direct-smoothed",0.06218009141061424,NaN
"Distribution Mean SOWE",0.07285586328364832,0.07639481398062851
"Distribution Mean SOWE-smoothed",0.07307470017572257,0.0764291790680164
"Distribution Mean CNN",0.07291856105657271,0.08437807415514435
"Distribution Mean CNN-smoothed",0.07276961695966232,0.09374282677202656
"Distribution Mean RNN",0.10478952562356844,0.15215027128488232
"Distribution Mean RNN-smoothed",0.10509903813829027,0.15104637981579436
