"method","mse"
"Direct",0.06352217495441437
"SOWE",0.06507168710231781
"CNN",0.06394565850496292
"RNN",0.09357193112373352
"Distribution Mean Direct",0.06352217045764941
"Distribution Mean Direct-smoothed",0.0635289704190796
"Distribution Mean SOWE",0.06461441469814318
"Distribution Mean SOWE-smoothed",0.06460957096646841
"Distribution Mean CNN",0.06510303897078906
"Distribution Mean CNN-smoothed",0.06512701296479147
"Distribution Mean RNN",0.10046747600097004
"Distribution Mean RNN-smoothed",0.09123952328992584
